Name,Color,Image,RGB,Undertone
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[240.0891666666667, 101.35099999999996, 91.89766666666665]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Coral Date.jpg,"[240.0891666666667, 101.35099999999996, 91.89766666666665]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[122.98766666666667, 74.26950000000001, 67.65050000000001]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-brown walnut.jpg,"[122.98766666666667, 74.26950000000001, 67.65050000000001]",cool
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[142.5815, 72.36516666666667, 82.5355]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Pink Party.jpg,"[142.5815, 72.36516666666667, 82.5355]",cool
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[169.0656666666667, 92.4465, 69.10166666666666]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Caramel latte MB2.jpg,"[169.0656666666667, 92.4465, 69.10166666666666]",cool
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[169.97316666666666, 58.97316666666667, 74.97316666666667]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Rosy Sunday.jpg,"[169.97316666666666, 58.97316666666667, 74.97316666666667]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[161.748, 38.85533333333334, 18.890333333333334]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Red Rust.jpg,"[161.748, 38.85533333333334, 18.890333333333334]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[228.77083333333334, 94.77083333333333, 101.77083333333333]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Peachy Affair.jpg,"[228.77083333333334, 94.77083333333333, 101.77083333333333]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[174.64766666666668, 40.647666666666666, 77.64766666666667]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Maroon Mix.jpg,"[174.64766666666668, 40.647666666666666, 77.64766666666667]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[225.6355, 36.08133333333333, 45.948]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Red Letter.jpg,"[225.6355, 36.08133333333333, 45.948]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[125.71549999999999, 50.81149999999999, 83.9955]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Garnet Punch.jpg,"[125.71549999999999, 50.81149999999999, 83.9955]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[126.71449999999999, 85.40516666666667, 81.09783333333334]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Chocolate Crush.jpg,"[126.71449999999999, 85.40516666666667, 81.09783333333334]",cool
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[215.56083333333333, 29.8215, 54.997833333333325]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Pink Rose.jpg,"[215.56083333333333, 29.8215, 54.997833333333325]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[167.16116666666667, 67.16116666666667, 69.16116666666667]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Roseatte Red.jpg,"[167.16116666666667, 67.16116666666667, 69.16116666666667]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[185.2853333333333, 46.352333333333334, 106.767]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Plum Pick.jpg,"[185.2853333333333, 46.352333333333334, 106.767]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[163.2825, 91.2815, 102.399]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Mauve Matter.jpg,"[163.2825, 91.2815, 102.399]",cool
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[197.39283333333333, 114.39283333333333, 108.39283333333333]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Blushing Nude.jpg,"[197.39283333333333, 114.39283333333333, 108.39283333333333]",cool
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[196.376, 6.272333333333332, 1.852333333333335]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Red Coat.jpg,"[196.376, 6.272333333333332, 1.852333333333335]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[217.41383333333334, 48.37583333333333, 80.46583333333334]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Ruby Rush.jpg,"[217.41383333333334, 48.37583333333333, 80.46583333333334]",warm
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[162.312, 93.568, 83.164]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Nude Touch MP9.jpg,"[162.312, 93.568, 83.164]",cool
9 to 5 Primer + Matte LipstickRosy Sunday MP8,"[[156.50083333333333, 87.93266666666666, 80.25433333333334]]",9 to 5 Primer + Matte Lipstick-Rosy Sunday MP8-Coffee Command.jpg,"[156.50083333333333, 87.93266666666666, 80.25433333333334]",cool
