,Name,Image,Shade,Color
1766,Nourishing Perfection SPF 20 Cream Compact Foundation WR70Neutral 95.jpg,Nourishing Perfection SPF 20 Cream Compact Foundation WR70-Neutral 95.jpg,Neutral 95,"[[214.0, 146.99999999999994, 109.0]]"
1767,Nourishing Perfection SPF 20 Cream Compact Foundation WR70Neutral 80.jpg,Nourishing Perfection SPF 20 Cream Compact Foundation WR70-Neutral 80.jpg,Neutral 80,"[[223.0, 160.99999999999994, 112.99999999999997]]"
1768,Expresso Pro Matte HD Foundation GLM723Creamy Cocoa.jpg,Expresso Pro Matte HD Foundation GLM723-Creamy Cocoa.jpg,Creamy Cocoa,"[[105.0, 66.0, 44.0]]"
1769,Expresso Pro Matte HD Foundation GLM723Chestnut.jpg,Expresso Pro Matte HD Foundation GLM723-Chestnut.jpg,Chestnut,"[[101.0, 64.99999999999997, 37.99999999999997]]"
1770,Expresso Pro Matte HD Foundation GLM723Cappuccino.jpg,Expresso Pro Matte HD Foundation GLM723-Cappuccino.jpg,Cappuccino,"[[123.1994459833795, 79.0, 45.011080332409975]]"
1771,Expresso Pro Matte HD Foundation GLM723Expresso GLM723.jpg,Expresso Pro Matte HD Foundation GLM723-Expresso GLM723.jpg,Expresso GLM723,"[[98.0, 65.99999999999997, 46.0]]"
1772,Expresso Pro Matte HD Foundation GLM723Soft Sable.jpg,Expresso Pro Matte HD Foundation GLM723-Soft Sable.jpg,Soft Sable,"[[109.0, 67.99999999999997, 38.0]]"
1773,Expresso Pro Matte HD Foundation GLM723Deep Tan.jpg,Expresso Pro Matte HD Foundation GLM723-Deep Tan.jpg,Deep Tan,"[[132.0, 90.0, 64.99999999999997]]"
1774,Chestnut Pro Matte HD Foundation GLM722Creamy Cocoa.jpg,Chestnut Pro Matte HD Foundation GLM722-Creamy Cocoa.jpg,Creamy Cocoa,"[[105.0, 66.0, 44.0]]"
1775,Chestnut Pro Matte HD Foundation GLM722Chestnut.jpg,Chestnut Pro Matte HD Foundation GLM722-Chestnut.jpg,Chestnut,"[[101.0, 64.99999999999997, 37.99999999999997]]"
1776,Chestnut Pro Matte HD Foundation GLM722Cappuccino.jpg,Chestnut Pro Matte HD Foundation GLM722-Cappuccino.jpg,Cappuccino,"[[123.1994459833795, 79.0, 45.011080332409975]]"
1777,Chestnut Pro Matte HD Foundation GLM722Expresso GLM723.jpg,Chestnut Pro Matte HD Foundation GLM722-Expresso GLM723.jpg,Expresso GLM723,"[[98.0, 65.99999999999997, 46.0]]"
1778,Chestnut Pro Matte HD Foundation GLM722Soft Sable.jpg,Chestnut Pro Matte HD Foundation GLM722-Soft Sable.jpg,Soft Sable,"[[109.0, 67.99999999999997, 38.0]]"
1779,Chestnut Pro Matte HD Foundation GLM722Deep Tan.jpg,Chestnut Pro Matte HD Foundation GLM722-Deep Tan.jpg,Deep Tan,"[[132.0, 90.0, 64.99999999999997]]"
1780,Secrets Of Camouflage 02 Dark Stick Foundation 10 gDark.jpg,Secrets Of Camouflage 02 Dark Stick Foundation 10 g-Dark.jpg,Dark,"[[211.0, 168.0, 136.0]]"
1781,Dark Honey Detox & Protect SPF 15 Foundation 06Sunny.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-Sunny.jpg,Sunny,"[[207.0, 147.99999999999994, 107.99999999999997]]"
1782,Dark Honey Detox & Protect SPF 15 Foundation 06Rich Cocoa.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-Rich Cocoa.jpg,Rich Cocoa,"[[120.0, 73.0, 50.0]]"
1783,Dark Honey Detox & Protect SPF 15 Foundation 06Toffee.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-Toffee.jpg,Toffee,"[[154.0, 109.0, 86.0]]"
1784,Dark Honey Detox & Protect SPF 15 Foundation 067.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-7.jpg,7,"[[207.0, 171.0, 138.99999999999994]]"
1785,Dark Honey Detox & Protect SPF 15 Foundation 06Warm Sand.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-Warm Sand.jpg,Warm Sand,"[[133.0, 86.0, 63.0]]"
1786,Dark Honey Detox & Protect SPF 15 Foundation 06Medium Beige.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-Medium Beige.jpg,Medium Beige,"[[224.0, 178.0, 137.0]]"
1787,Dark Honey Detox & Protect SPF 15 Foundation 06Sand.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-Sand.jpg,Sand,"[[209.0, 155.0, 112.99999999999997]]"
1788,Dark Honey Detox & Protect SPF 15 Foundation 06Dark Honey.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-Dark Honey.jpg,Dark Honey,"[[211.0, 157.0, 120.99999999999997]]"
1789,Dark Honey Detox & Protect SPF 15 Foundation 06Honey Beige.jpg,Dark Honey Detox & Protect SPF 15 Foundation 06-Honey Beige.jpg,Honey Beige,"[[217.0, 165.99999999999994, 120.99999999999997]]"
